≥Ø¬•,∆¿,ªÛ¥Î∆¿,»®∆¿,≈∏ºÆ,≈∏ºˆ,≈∏¡°,µÊ¡°,æ»≈∏,»®∑±,µµ∑Á,µµΩ«,»Ò∫Ò,∫º≥›,ªÔ¡¯,∫¥ªÏ,¿‹∑Á¿≤,√‚∑Á¿≤,≈∏¿≤,Ω¬∆–
20150611,NE,HT,T,37,33,3,3,9,2,0,1,0,3,4,0,14,0.333333333,0.272727273,0
20150611,HT,NE,B,36,31,5,5,10,1,4,0,1,4,8,1,17,0.388888889,0.322580645,1
20150611,OB,LG,T,41,38,6,6,14,1,0,0,1,2,5,1,20,0.390243902,0.368421053,1
20150611,LG,OB,B,29,28,0,0,3,0,4,0,0,1,9,2,6,0.137931034,0.107142857,0
20150612,LG,HH,T,48,41,10,10,12,2,0,1,0,6,6,1,20,0.395833333,0.292682927,1
20150612,HH,LG,B,47,39,5,7,10,0,2,0,0,5,13,0,22,0.355555556,0.256410256,0
20150612,LT,SK,T,32,30,1,2,6,0,0,1,1,1,10,1,8,0.21875,0.2,0
20150612,SK,LT,B,42,34,6,8,11,0,0,1,0,7,5,0,25,0.43902439,0.323529412,1
20150612,NC,OB,T,47,36,8,8,15,0,4,1,1,8,7,2,23,0.511111111,0.416666667,1
20150612,OB,NC,B,40,35,5,5,10,1,0,1,0,2,5,0,19,0.358974359,0.285714286,0
20150612,NE,KT,T,39,34,5,5,8,1,2,0,0,3,10,0,14,0.333333333,0.235294118,0
20150612,KT,NE,B,39,36,6,6,12,1,0,0,0,3,9,1,19,0.384615385,0.333333333,1
20150612,SS,HT,T,48,40,10,10,15,3,0,1,1,7,5,0,21,0.458333333,0.375,1
20150612,HT,SS,B,33,30,2,2,5,1,0,0,0,2,9,1,8,0.21875,0.166666667,0
20150613,LG,HH,T,35,31,1,1,5,1,2,0,0,3,8,0,18,0.235294118,0.161290323,0
20150613,HH,LG,B,39,32,8,8,10,0,4,0,0,4,5,2,17,0.421052632,0.3125,1
20150613,LT,SK,T,36,35,3,4,7,1,2,0,0,0,11,0,8,0.222222222,0.2,0
20150613,SK,LT,B,37,35,5,5,12,1,0,0,1,1,5,0,10,0.351351351,0.342857143,1
20150613,NC,OB,T,37,35,2,2,8,0,2,0,0,2,6,0,14,0.27027027,0.228571429,0
20150613,OB,NC,B,34,31,4,4,8,0,0,0,0,1,3,2,15,0.323529412,0.258064516,1
20150613,NE,KT,T,46,41,8,10,14,1,0,0,0,4,9,0,17,0.413043478,0.341463415,1
20150613,KT,NE,B,34,32,1,1,5,1,0,0,0,2,4,0,7,0.205882353,0.15625,0
20150613,SS,HT,T,36,34,4,4,10,2,2,1,0,2,10,2,14,0.333333333,0.294117647,0
20150613,HT,SS,B,37,32,7,7,9,2,6,0,0,4,7,0,12,0.361111111,0.28125,1
20150614,LG,HH,T,39,35,3,3,8,1,2,1,0,4,12,0,18,0.307692308,0.228571429,0
20150614,HH,LG,B,40,32,7,8,13,0,0,0,0,5,10,1,19,0.512820513,0.40625,1
20150614,LT,SK,T,36,29,1,1,4,0,0,2,0,7,8,0,16,0.305555556,0.137931034,1
20150614,SK,LT,B,30,28,0,0,3,0,4,0,0,1,6,1,8,0.137931034,0.107142857,0
20150614,NC,OB,T,39,34,2,2,7,1,2,0,0,5,8,0,20,0.307692308,0.205882353,0
20150614,OB,NC,B,42,36,6,6,14,1,2,0,0,5,5,1,23,0.463414634,0.388888889,1
20150614,NE,KT,T,49,40,13,14,14,1,2,0,2,6,8,1,28,0.416666667,0.35,1
20150614,KT,NE,B,43,37,9,10,11,2,0,0,1,5,8,0,20,0.372093023,0.297297297,0
20150616,HT,LG,T,36,32,3,4,6,0,8,0,0,3,7,1,12,0.277777778,0.1875,1
20150616,LG,HT,B,37,33,3,3,8,1,0,0,0,1,10,1,13,0.305555556,0.242424242,0
20150616,LT,NE,T,37,31,1,1,6,1,0,1,0,4,14,1,21,0.324324324,0.193548387,0
20150616,NE,LT,B,37,36,7,9,14,1,0,1,1,0,6,1,14,0.378378378,0.388888889,1
20150616,NC,KT,T,35,32,3,3,8,1,2,0,0,3,5,2,7,0.314285714,0.25,0
20150616,KT,NC,B,39,32,4,4,9,1,0,0,1,4,5,1,16,0.368421053,0.28125,1
20150616,OB,SS,T,35,31,5,5,6,2,0,0,1,2,9,1,9,0.257142857,0.193548387,1
20150616,SS,OB,B,45,43,4,4,16,0,0,0,0,1,8,1,29,0.4,0.372093023,0
20150616,SK,HH,T,39,36,2,2,10,1,0,0,0,3,8,1,15,0.333333333,0.277777778,0
20150616,HH,SK,B,36,33,6,7,9,4,0,0,1,2,4,0,12,0.305555556,0.272727273,1
20150617,HT,LG,T,30,29,0,0,4,0,0,1,0,0,5,1,9,0.166666667,0.137931034,0
20150617,LG,HT,B,36,32,5,5,9,0,2,0,1,1,4,0,15,0.314285714,0.28125,1
20150617,LT,NE,T,46,40,8,8,17,2,2,0,0,3,8,1,19,0.477272727,0.425,1
20150617,NE,LT,B,34,29,1,1,6,1,0,0,0,5,4,2,10,0.323529412,0.206896552,0
20150617,NC,KT,T,38,35,3,4,8,1,0,0,0,3,7,0,12,0.289473684,0.228571429,0
20150617,KT,NC,B,49,39,11,12,14,2,0,0,0,9,10,1,22,0.489795918,0.358974359,1
20150617,OB,SS,T,41,37,7,7,13,2,4,1,0,3,6,1,17,0.4,0.351351351,0
20150617,SS,OB,B,40,37,8,8,12,2,0,0,0,3,10,0,14,0.375,0.324324324,1
20150617,SK,HH,T,41,36,7,7,12,2,2,1,0,2,7,0,14,0.384615385,0.333333333,1
20150617,HH,SK,B,45,37,6,6,11,0,0,0,0,5,10,0,28,0.409090909,0.297297297,0
