T_ID,VS_T_ID,PA,AB,RUN,OBP,OOO,
OB,NC,37.94444444,33.72222222,6.583333333,0.321,0.249,
NC,OB,39.38888889,34.27777778,4.944444444,0.356,0.272,
SS,HH,38.94117647,33.58823529,5.529411765,0.335,0.254,
HH,SS,37.88235294,34.05882353,3.470588235,0.299,0.238,
WO,LG,37.94444444,34.05555556,3.277777778,0.29,0.22,
LG,WO,38.88888889,34.55555556,4.777777778,0.33,0.264,
